country,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_who_2019,llpp_who_2020,llpp_who_2021,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018,llpp_nat_2019,llpp_nat_2020,llpp_nat_2021
Moldova,18.927297297297297,18.16945945945946,16.007567567567566,17.984864864864868,19.9172972972973,17.42864864864865,17.383513513513513,17.77918918918919,18.85945945945946,15.5927027027027,15.002162162162163,15.852972972972971,14.677297297297295,17.037567567567567,17.897837837837837,15.99081081081081,16.065405405405404,15.13945945945946,14.997837837837837,17.357567567567568,14.379729729729728,12.52054054054054,12.958108108108108,14.513513513513514,1.3645945945945948,1.2902702702702704,1.0791891891891892,1.272972972972973,1.462162162162162,1.2178378378378378,1.212972972972973,1.2516216216216216,1.3583783783783783,1.0381081081081083,0.9791891891891893,1.0643243243243243,0.9475675675675677,1.1797297297297298,1.2640540540540541,1.0764864864864865,1.0848648648648649,0.9935135135135135,0.9802702702702704,1.2116216216216216,0.9197297297297298,0.7364864864864865,0.78,0.9327027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,14.1,12.49,13.87,14.23,14.43,15.91,13.35,14.41,14.18,13.81,12.27,13.23,14.63,15.02,14.39,12.29,9.86,12.38,11.05,12.1,10.39,9.38,9.58,10.12,0.89,0.73,0.87,0.9,0.92,1.07,0.82,0.92,0.9,0.86,0.71,0.81,0.94,0.98,0.92,0.71,0.48,0.72,0.59,0.7,0.53,0.43,0.45,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,11.515535168195719,10.108776758409787,9.087798165137615,10.76862385321101,13.416177370030582,14.9882874617737,10.926850152905198,13.042232415902141,14.51565749235474,14.543027522935779,16.234373088685015,14.321406727828748,12.586758409785933,13.298042813455657,14.087370030581038,12.425229357798166,13.64850152905199,12.661865443425077,13.385626911314986,12.516177370030581,10.689449541284404,12.51868501529052,11.217155963302753,12.85532110091743,0.639480122324159,0.5025688073394495,0.4039755351681957,0.565565749235474,0.8249847094801223,0.978776758409786,0.5811926605504587,0.7881039755351681,0.932354740061162,0.9352905198776758,1.1008562691131498,0.9137003058103975,0.7434556574923548,0.8129969418960246,0.8905810397553517,0.7276146788990826,0.8474006116207952,0.7509480122324159,0.8220795107033639,0.7367278287461774,0.5574923547400612,0.7367584097859327,0.6092354740061162,0.770611620795107,0.05960244648318042,0.027675840978593276,0.018073394495412846,0.028318042813455655,0.04232415902140673,0.07978593272171254,0.02926605504587156,0.04168195718654434,0.07036697247706422,0.07342507645259938,0.09,0.058654434250764526,0.04238532110091743,0.05883792048929663,0.051896024464831804,0.05152905198776759,0.0482262996941896,0.03351681957186545,0.06779816513761469,0.05195718654434251,0.02966360856269113,0.04345565749235474,0.03489296636085627,0.060550458715596334
Montenegro,17.501428571428573,16.451904761904764,16.8,17.49047619047619,18.458571428571428,20.79190476190476,17.225714285714286,18.471904761904764,20.051904761904762,19.456190476190475,16.59095238095238,16.582857142857144,14.776190476190477,22.07,20.812380952380952,18.210476190476193,15.972380952380954,19.236190476190476,16.846190476190475,17.32952380952381,17.24904761904762,15.770000000000001,16.44857142857143,16.17904761904762,1.2242857142857144,1.1233333333333333,1.1561904761904762,1.2233333333333334,1.319047619047619,1.5476190476190477,1.198095238095238,1.3214285714285714,1.4747619047619047,1.4157142857142857,1.1357142857142857,1.1347619047619046,0.9576190476190476,1.6733333333333333,1.5499999999999998,1.2947619047619048,1.0742857142857143,1.3952380952380952,1.1604761904761904,1.208095238095238,1.2014285714285715,1.0557142857142856,1.120952380952381,1.0952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0004761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montserrat,2.4333333333333336,3.1566666666666667,2.66,2.7866666666666666,2.276666666666667,2.75,2.7099999999999995,3.4066666666666663,3.3733333333333335,2.7600000000000002,2.6766666666666663,3.0833333333333335,4.293333333333334,2.983333333333333,2.953333333333333,2.2866666666666666,2.4433333333333334,2.453333333333333,2.7566666666666664,2.7266666666666666,2.59,2.65,2.5233333333333334,2.8033333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,7.406296296296296,8.253888888888888,6.725370370370371,7.091111111111111,7.4292592592592595,7.302777777777778,6.843703703703704,7.892222222222222,7.857592592592592,8.083333333333334,6.953703703703703,6.757777777777778,6.636481481481481,6.835925925925926,6.826481481481482,7.654259259259259,6.328518518518519,7.889814814814815,6.945555555555556,6.120185185185186,7.397962962962963,7.160925925925926,6.768888888888888,7.604074074074074,0.2587037037037037,0.3311111111111111,0.18685185185185185,0.22296296296296295,0.2525925925925926,0.23777777777777778,0.19333333333333333,0.2948148148148148,0.29055555555555557,0.3164814814814815,0.20925925925925928,0.2016666666666667,0.18555555555555556,0.20574074074074072,0.20851851851851852,0.27574074074074073,0.16296296296296298,0.3025925925925926,0.21,0.14925925925925926,0.24462962962962964,0.2285185185185185,0.1938888888888889,0.2651851851851852,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,15.764108527131782,13.101240310077518,13.066821705426356,18.1931007751938,15.337829457364341,15.964728682170541,15.058682170542635,16.904651162790696,15.646666666666667,18.311162790697672,16.89968992248062,15.311395348837209,17.206589147286824,14.782945736434108,15.996279069767441,15.655038759689923,13.965348837209302,15.438914728682171,13.639147286821705,13.003100775193799,15.372480620155038,15.657131782945736,11.515193798449612,12.40046511627907,1.0548837209302326,0.7935658914728683,0.7906976744186046,1.2932558139534884,1.0129457364341083,1.0744186046511628,0.9858914728682171,1.1662015503875969,1.0432558139534884,1.304108527131783,1.1660465116279068,1.0104651162790697,1.196356589147287,0.9586046511627907,1.077829457364341,1.044263565891473,0.8784496124031007,1.0228682170542636,0.8464341085271317,0.784108527131783,1.016356589147287,1.0440310077519381,0.6385271317829457,0.7254263565891472,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,26.341124999999998,27.511874999999996,24.532,26.857999999999997,27.247125,28.075625000000002,31.75725,30.648000000000003,30.913999999999998,33.297250000000005,30.36825,34.680125,32.89175,30.718624999999996,31.590749999999996,32.414375,33.625,31.091500000000003,31.423000000000002,29.4315,31.109125,32.188,32.846,34.553250000000006,2.091375,2.20575,1.9141249999999999,2.1416250000000003,2.180625,2.262125,2.622125,2.5135,2.539625,2.77325,2.486375,2.90825,2.733625,2.519875,2.606,2.6868749999999997,2.805375,2.556625,2.589375,2.3945,2.55925,2.664625,2.729375,2.896125,,,,,,,,,,,,,,,,,,,,,,,,
México,18.04105006105006,13.654159544159542,16.805437525437526,16.370272690272692,16.546100936100935,17.67102564102564,15.514538054538056,17.061155881155884,15.92965811965812,15.492527472527472,15.275034595034596,15.021045991045991,14.052946682946681,16.026145706145705,15.122702482702485,15.808054538054538,14.001094831094832,14.915115995115997,14.69940577940578,14.722169312169314,13.636149776149775,14.966361416361416,14.992775742775743,14.955010175010175,1.2791656491656491,0.8488685388685389,1.1574603174603175,1.1148595848595848,1.131835571835572,1.2421815221815222,1.031798941798942,1.1825315425315426,1.072039072039072,1.0296581196581196,1.0086853886853888,0.9836345136345136,0.891021571021571,1.0825478225478227,0.994029304029304,1.0621489621489622,0.8854131054131055,0.974961334961335,0.9551566951566952,0.954936914936915,0.8496133496133497,0.981973951973952,0.9812413512413511,0.9777045177045176,0.6362067562067563,0.24700040700040699,0.5264224664224665,0.49185592185592186,0.49811965811965814,0.605030525030525,0.42644281644281645,0.5498941798941799,0.4460398860398861,0.4194708994708995,0.3972364672364672,0.375970695970696,0.3068131868131868,0.46048026048026053,0.3900895400895401,0.44657305657305657,0.3132722832722833,0.3802035002035002,0.3685917785917786,0.37032967032967035,0.2832315832315832,0.3941961741961742,0.37703703703703706,0.38004070004070006
Namibia,14.95728971962617,14.18140186915888,12.81588785046729,15.056728971962617,14.57766355140187,15.063364485981309,13.332710280373831,15.797757009345796,14.908411214953272,16.364953271028035,18.964018691588787,16.693831775700936,18.96906542056075,17.59532710280374,15.897289719626167,15.36336448598131,13.642710280373832,15.185233644859812,14.565233644859813,15.062429906542057,14.898785046728973,14.207009345794393,11.210841121495326,12.072616822429906,0.9758878504672898,0.8999065420560748,0.7661682242990655,0.9851401869158878,0.9383177570093458,0.986355140186916,0.8168224299065421,1.0583177570093458,0.971214953271028,1.114392523364486,1.3690654205607478,1.1458878504672898,1.3694392523364487,1.2343925233644861,1.0682242990654205,1.0162616822429906,0.8469158878504673,0.9979439252336448,0.9379439252336449,0.9864485981308411,0.9721495327102804,0.9026168224299065,0.6086915887850467,0.6931775700934579,,,,,,,,,,,,,,,,,,,,,,,,
